Time (sec),A/F Learning 1 (%),Boost (PSI),Calculated Load (g/rev),Dyn. Adv. Mult (DAM),Dynamic Adv. (°),Feedback Knock (°),Fine Knock Learn (°),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Intake Temp (° F),MAF (g/s),MAF Volt. (V),RPM (RPM),TD Boost Error (PSI),Throttle Pos. (%),Vehicle Speed (mph),Wastegate Duty (%)
0.000,-7.03,-10.21,0.29,1.000,0.00,0.00,0.00,33.3,3,32.00,90,11.48,1.64,2477,-0.25,9.0,35,0.00
0.088,-7.03,-10.36,0.28,1.000,0.00,0.00,0.00,33.3,3,30.50,90,9.72,1.56,2464,-0.34,8.6,35,0.00
0.192,-7.03,-10.56,0.25,1.000,0.00,0.00,0.00,33.3,3,28.50,90,7.85,1.50,2468,-0.25,7.5,35,0.00
0.278,-6.25,-10.92,0.22,1.000,0.00,0.00,0.00,33.3,3,27.00,90,7.29,1.48,2371,0.03,7.5,35,0.00
0.386,-6.25,-11.18,0.20,1.000,0.00,0.00,0.00,33.3,3,25.50,90,7.16,1.48,2377,0.25,7.5,35,0.00
0.491,-5.47,-11.28,0.19,1.000,0.00,0.00,0.00,33.3,3,24.00,90,7.33,1.48,2467,0.32,7.5,35,0.00
0.580,-5.47,-11.36,0.18,1.000,0.00,0.00,0.00,33.3,3,25.00,90,8.45,1.56,2380,1.26,9.8,35,41.18
0.678,-4.69,-11.13,0.20,1.000,0.00,0.00,0.00,33.3,3,26.50,90,12.07,1.76,2453,1.98,12.5,35,41.18
0.777,-4.69,-10.35,0.27,1.000,0.00,0.00,0.00,33.3,3,28.00,90,19.90,2.00,2466,3.26,16.5,35,41.18
0.874,-4.69,-8.95,0.42,1.000,0.00,0.00,0.00,66.7,3,9.00,90,31.01,2.20,2444,3.53,18.4,35,41.18
0.963,-5.47,-7.15,0.60,1.000,1.00,0.00,0.00,66.7,3,27.00,90,32.19,2.22,2372,1.67,18.4,35,41.18
1.069,-5.47,-6.25,0.70,1.000,2.20,0.00,0.00,66.7,3,24.50,90,32.25,2.22,2485,1.29,20.0,35,43.53
1.179,-5.47,-5.83,0.77,1.000,2.71,0.00,0.00,66.7,3,25.00,90,41.15,2.42,2485,5.06,23.5,35,45.10
1.267,-7.03,-4.23,0.89,1.000,3.57,0.00,0.00,66.7,3,25.00,90,42.54,2.42,2492,3.63,23.5,35,44.71
1.367,-7.03,-3.68,0.96,1.000,4.03,0.00,0.00,66.7,3,25.00,90,42.80,2.42,2433,3.23,23.5,36,44.71
1.464,-7.03,-3.54,0.99,1.000,4.20,0.00,0.00,66.7,3,26.00,90,45.50,2.48,2525,4.14,24.7,36,45.88
1.552,-7.03,-3.15,1.04,1.000,4.44,0.00,0.00,66.7,3,26.50,90,46.53,2.50,2521,4.11,25.1,36,45.88
1.660,-7.03,-2.84,1.08,1.000,4.66,0.00,0.00,66.7,3,26.00,90,48.46,2.52,2545,5.30,25.9,37,46.27
1.757,-7.03,-2.48,1.11,1.000,4.83,0.00,0.00,66.7,3,26.50,90,49.04,2.52,2556,4.45,25.1,37,45.88
1.866,-7.03,-2.40,1.12,1.000,4.89,0.00,0.00,66.7,3,27.50,90,47.54,2.50,2593,3.18,24.3,37,45.49
1.951,-7.03,-2.63,1.11,1.000,4.83,0.00,0.00,66.7,3,28.50,90,48.46,2.52,2614,3.22,24.7,37,45.10
2.049,-7.03,-2.49,1.11,1.000,4.90,0.00,0.00,66.7,3,29.50,90,51.21,2.56,2684,3.12,25.1,38,45.49
2.153,-7.03,-2.20,1.14,1.000,4.92,0.00,0.00,66.7,3,29.00,90,50.56,2.56,2641,2.81,24.7,38,45.10
2.240,-7.03,-2.24,1.14,1.000,4.92,0.00,0.00,66.7,3,29.00,90,51.50,2.56,2672,2.95,24.7,39,45.10
2.347,-6.25,-2.15,1.15,1.000,4.92,0.00,0.00,66.7,3,28.50,88,51.97,2.58,2748,2.49,24.7,39,44.71
2.445,-6.25,-2.12,1.16,1.000,4.92,0.00,0.00,66.7,3,29.00,88,52.43,2.58,2721,2.66,24.7,39,44.71
