Time (sec),A/F Learning 1 (%),Boost (PSI),Calculated Load (g/rev),Dyn. Adv. Mult (DAM),Dynamic Adv. (°),Feedback Knock (°),Fine Knock Learn (°),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Intake Temp (° F),MAF (g/s),MAF Volt. (V),RPM (RPM),TD Boost Error (PSI),Throttle Pos. (%),Vehicle Speed (mph),Wastegate Duty (%)
0.000,0.00,0.23,1.39,1.000,5.28,0.00,0.00,100.0,1,24.00,106,70.39,2.80,3056,20.01,30.6,17,58.82
0.105,0.00,0.45,1.40,1.000,5.31,0.00,0.00,100.0,1,24.00,106,75.43,2.86,3170,19.73,31.0,19,58.43
0.201,0.00,0.66,1.42,1.000,5.40,0.00,0.00,100.0,1,24.00,106,78.18,2.88,3241,19.37,31.0,19,58.43
0.283,0.00,0.89,1.44,1.000,5.49,0.00,0.00,100.0,1,25.00,106,83.25,2.94,3338,18.79,31.4,20,58.43
0.393,0.00,1.13,1.47,1.000,5.60,0.00,0.00,100.0,1,25.00,106,88.37,3.00,3576,18.29,31.8,21,58.43
0.493,0.00,1.45,1.50,1.000,5.63,0.00,0.00,100.0,1,25.00,106,93.73,3.04,3649,17.30,31.8,21,57.65
0.580,0.00,1.68,1.54,1.000,5.62,0.00,0.00,100.0,1,24.50,106,98.60,3.10,3835,16.81,31.8,22,57.65
0.679,0.00,1.85,1.56,1.000,5.62,0.00,0.00,100.0,1,24.50,106,104.17,3.16,3864,15.78,31.4,23,57.25
0.792,0.00,2.09,1.60,1.000,5.62,0.00,0.00,100.0,1,24.00,106,108.02,3.18,4042,13.76,31.0,24,56.86
0.891,0.00,2.00,1.60,1.000,5.62,0.00,0.00,100.0,1,24.50,106,112.97,3.22,4203,10.82,31.0,24,56.47
0.975,0.00,2.03,1.62,1.000,5.62,0.00,0.00,100.0,1,24.50,106,116.37,3.26,4340,8.12,30.6,25,55.69
1.084,0.00,1.58,1.61,1.000,5.62,0.00,0.00,100.0,1,25.50,106,116.69,3.26,4442,4.55,30.2,26,54.90
1.181,0.00,1.34,1.59,1.000,5.62,0.00,0.00,100.0,1,26.00,106,121.35,3.28,4602,4.31,30.6,27,54.90
1.262,0.00,1.43,1.58,1.000,5.62,0.00,0.00,100.0,1,27.00,106,122.60,3.30,4782,-0.66,31.0,27,46.27
1.374,0.00,1.38,1.57,1.000,5.62,0.00,0.00,100.0,1,28.00,106,125.40,3.32,4805,-0.94,30.6,29,45.88
1.478,0.00,1.20,1.54,1.000,5.62,0.00,0.00,100.0,1,29.00,108,119.80,3.28,4866,-2.49,29.0,29,44.31
1.560,0.00,0.18,1.45,1.000,5.44,0.00,0.00,100.0,1,30.50,108,107.20,3.18,5014,-3.45,26.7,30,42.75
1.665,0.00,-1.69,1.27,1.000,4.63,0.00,0.00,100.0,1,14.00,108,51.06,2.54,4934,-6.28,13.7,30,0.00
1.772,0.00,-7.76,0.72,1.000,0.00,0.00,0.00,33.3,6,15.50,108,28.75,2.14,4759,-1.90,13.3,30,0.00
1.867,0.00,-9.38,0.45,1.000,0.00,0.00,0.00,33.3,6,14.00,108,26.97,2.12,4584,-1.42,13.3,30,0.00
1.954,-0.78,-10.12,0.37,1.000,0.00,0.00,0.00,33.3,1,10.00,108,24.42,2.06,4468,-0.79,12.5,30,0.00
2.054,-0.78,-10.44,0.33,1.000,0.00,0.00,0.00,33.3,1,31.00,108,34.95,2.44,4332,5.86,27.5,30,42.75
2.162,-0.78,-6.00,0.65,1.000,0.00,0.00,0.00,100.0,1,34.00,108,84.96,2.94,3939,4.92,30.6,30,46.67
2.245,0.00,-1.93,1.09,1.000,4.79,0.00,0.00,100.0,2,33.00,108,81.31,2.92,3481,6.96,31.8,31,56.08
2.354,0.00,0.04,1.30,1.000,4.98,0.00,0.00,100.0,2,24.50,108,78.18,2.88,3084,11.68,33.3,32,58.82
2.459,0.00,1.31,1.42,1.000,5.39,0.00,0.00,100.0,2,9.50,108,80.57,2.92,3307,12.32,36.9,32,60.00
2.558,0.00,1.89,1.47,1.000,5.63,0.00,0.00,100.0,2,23.50,108,88.61,2.98,3377,11.70,37.3,33,60.39
2.646,0.00,2.56,1.55,1.000,5.73,0.00,0.00,100.0,2,22.00,108,90.32,3.00,3379,11.35,36.1,34,60.39
2.743,0.00,2.99,1.61,1.000,5.82,0.00,0.00,100.0,2,21.00,108,96.16,3.06,3404,10.98,36.5,34,60.39
2.853,0.00,3.39,1.69,1.000,5.79,0.00,0.00,100.0,2,21.00,108,100.79,3.12,3460,10.59,36.1,34,60.39
2.937,0.00,3.90,1.74,1.000,5.76,0.00,0.00,100.0,2,19.50,108,105.00,3.16,3525,9.84,35.7,35,60.39
